交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2021/04/01,CAO,202104  ,57.5000,買權,-,-,-,-,0,22.1,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,57.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,60.0000,買權,-,-,-,-,0,19.6,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,60.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,62.5000,買權,-,-,-,-,0,17.1,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,62.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,65.0000,買權,-,-,-,-,0,14.6,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,65.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,67.5000,買權,-,-,-,-,0,12.1,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,67.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,70.0000,買權,-,-,-,-,0,9.65,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,70.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,72.5000,買權,-,-,-,-,0,7.15,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,72.5000,賣權,-,-,-,-,0,0.06,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,75.0000,買權,-,-,-,-,0,4.87,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,75.0000,賣權,-,-,-,-,0,0.25,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,77.5000,買權,-,-,-,-,0,2.9,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,77.5000,賣權,-,-,-,-,0,0.78,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,80.0000,買權,-,-,-,-,0,1.47,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,80.0000,賣權,-,-,-,-,0,1.85,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,82.5000,買權,-,-,-,-,0,0.62,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,82.5000,賣權,-,-,-,-,0,3.5,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,85.0000,買權,-,-,-,-,0,0.21,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,85.0000,賣權,-,-,-,-,0,5.6,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,87.5000,買權,-,-,-,-,0,0.06,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,87.5000,賣權,-,-,-,-,0,7.95,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,90.0000,買權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,90.0000,賣權,-,-,-,-,0,10.4,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,92.5000,買權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CAO,202104  ,92.5000,賣權,-,-,-,-,0,12.9,0,-,-,-,-,,一般,
2021/04/01,CAO,202105  ,62.5000,買權,-,-,-,-,0,17.1,0,-,-,-,-,,一般,
2021/04/01,CAO,202105  ,62.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CAO,202105  ,65.0000,買權,-,-,-,-,0,14.65,0,-,-,-,-,,一般,
2021/04/01,CAO,202105  ,65.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CAO,202105  ,67.5000,買權,-,-,-,-,0,12.2,0,-,-,-,-,,一般,
2021/04/01,CAO,202105  ,67.5000,賣權,-,-,-,-,0,0.05,0,-,-,-,-,,一般,
2021/04/01,CAO,202105  ,70.0000,買權,-,-,-,-,0,9.8,0,-,-,-,-,,一般,
2021/04/01,CAO,202105  ,70.0000,賣權,-,-,-,-,0,0.16,0,-,-,-,-,,一般,
2021/04/01,CAO,202105  ,72.5000,買權,-,-,-,-,0,7.55,0,-,-,-,-,,一般,
2021/04/01,CAO,202105  ,72.5000,賣權,-,-,-,-,0,0.41,0,-,-,-,-,,一般,
2021/04/01,CAO,202105  ,75.0000,買權,-,-,-,-,0,5.55,0,-,-,-,-,,一般,
2021/04/01,CAO,202105  ,75.0000,賣權,-,-,-,-,0,0.89,0,-,-,-,-,,一般,
2021/04/01,CAO,202105  ,77.5000,買權,-,-,-,-,0,3.83,0,-,-,-,-,,一般,
2021/04/01,CAO,202105  ,77.5000,賣權,-,-,-,-,0,1.68,0,-,-,-,-,,一般,
2021/04/01,CAO,202105  ,80.0000,買權,-,-,-,-,0,2.49,0,-,-,-,-,,一般,
2021/04/01,CAO,202105  ,80.0000,賣權,-,-,-,-,0,2.83,0,-,-,-,-,,一般,
2021/04/01,CAO,202105  ,82.5000,買權,-,-,-,-,0,1.51,0,-,-,-,-,,一般,
2021/04/01,CAO,202105  ,82.5000,賣權,-,-,-,-,0,4.35,0,-,-,-,-,,一般,
2021/04/01,CAO,202105  ,85.0000,買權,-,-,-,-,0,0.86,0,-,-,-,-,,一般,
2021/04/01,CAO,202105  ,85.0000,賣權,-,-,-,-,0,6.2,0,-,-,-,-,,一般,
