date,exdate,strike_price,cp_flag,option_price
2021-05-03,2021-05-19,62.5,C,25.4
2021-05-03,2021-05-19,62.5,P,0.01
2021-05-03,2021-05-19,65.0,C,22.9
2021-05-03,2021-05-19,65.0,P,0.01
2021-05-03,2021-05-19,67.5,C,20.4
2021-05-03,2021-05-19,67.5,P,0.01
2021-05-03,2021-05-19,70.0,C,17.9
2021-05-03,2021-05-19,70.0,P,0.01
2021-05-03,2021-05-19,72.5,C,15.4
2021-05-03,2021-05-19,72.5,P,0.01
2021-05-03,2021-05-19,75.0,C,12.9
2021-05-03,2021-05-19,75.0,P,0.01
2021-05-03,2021-05-19,77.5,C,10.45
2021-05-03,2021-05-19,77.5,P,0.01
2021-05-03,2021-05-19,80.0,C,8.0
2021-05-03,2021-05-19,80.0,P,0.06
2021-05-03,2021-05-19,82.5,C,5.65
2021-05-03,2021-05-19,82.5,P,0.24
2021-05-03,2021-05-19,85.0,C,3.62
2021-05-03,2021-05-19,85.0,P,0.7
2021-05-03,2021-05-19,87.5,C,2.04
2021-05-03,2021-05-19,87.5,P,1.62
2021-05-03,2021-05-19,90.0,C,0.99
2021-05-03,2021-05-19,90.0,P,3.07
2021-05-03,2021-05-19,92.5,C,0.41
2021-05-03,2021-05-19,92.5,P,4.99
2021-05-03,2021-05-19,95.0,C,0.14
2021-05-03,2021-05-19,95.0,P,7.2
2021-05-03,2021-05-19,97.5,C,0.04
2021-05-03,2021-05-19,97.5,P,9.6
2021-05-03,2021-05-19,100.0,C,0.01
2021-05-03,2021-05-19,100.0,P,12.1
2021-05-03,2021-05-19,105.0,C,0.01
2021-05-03,2021-05-19,105.0,P,17.1
2021-05-03,2021-05-19,110.0,C,0.01
2021-05-03,2021-05-19,110.0,P,22.1
2021-05-03,2021-06-16,48.0,C,39.9
2021-05-03,2021-06-16,48.0,P,0.01
2021-05-03,2021-06-16,50.0,C,37.9
2021-05-03,2021-06-16,50.0,P,0.01
2021-05-03,2021-06-16,55.0,C,32.9
2021-05-03,2021-06-16,55.0,P,0.01
2021-05-03,2021-06-16,60.0,C,27.9
2021-05-03,2021-06-16,60.0,P,0.01
2021-05-03,2021-06-16,65.0,C,22.9
2021-05-03,2021-06-16,65.0,P,0.01
2021-05-03,2021-06-16,70.0,C,18.0
2021-05-03,2021-06-16,70.0,P,0.01
2021-05-03,2021-06-16,72.5,C,15.5
2021-05-03,2021-06-16,72.5,P,0.02
2021-05-03,2021-06-16,75.0,C,13.0
2021-05-03,2021-06-16,75.0,P,0.07
2021-05-03,2021-06-16,77.5,C,10.65
2021-05-03,2021-06-16,77.5,P,0.2
2021-05-03,2021-06-16,80.0,C,8.4
2021-05-03,2021-06-16,80.0,P,0.45
2021-05-03,2021-06-16,82.5,C,6.35
2021-05-03,2021-06-16,82.5,P,0.91
2021-05-03,2021-06-16,85.0,C,4.6
2021-05-03,2021-06-16,85.0,P,1.64
2021-05-03,2021-06-16,87.5,C,3.16
2021-05-03,2021-06-16,87.5,P,2.7
2021-05-03,2021-06-16,90.0,C,2.06
2021-05-03,2021-06-16,90.0,P,4.1
2021-05-03,2021-06-16,92.5,C,1.27
2021-05-03,2021-06-16,92.5,P,5.8
2021-05-03,2021-06-16,95.0,C,0.74
2021-05-03,2021-06-16,95.0,P,7.8
2021-05-03,2021-06-16,97.5,C,0.41
2021-05-03,2021-06-16,97.5,P,9.95
2021-05-03,2021-06-16,100.0,C,0.21
2021-05-03,2021-06-16,100.0,P,12.25
2021-05-03,2021-06-16,105.0,C,0.05
2021-05-03,2021-06-16,105.0,P,17.1
2021-05-03,2021-06-16,110.0,C,0.01
2021-05-03,2021-06-16,110.0,P,22.0
2021-05-03,2021-09-15,48.0,C,40.0
2021-05-03,2021-09-15,48.0,P,0.01
2021-05-03,2021-09-15,50.0,C,38.0
2021-05-03,2021-09-15,50.0,P,0.01
2021-05-03,2021-09-15,55.0,C,33.0
2021-05-03,2021-09-15,55.0,P,0.01
2021-05-03,2021-09-15,60.0,C,28.1
2021-05-03,2021-09-15,60.0,P,0.02
2021-05-03,2021-09-15,65.0,C,23.1
2021-05-03,2021-09-15,65.0,P,0.08
2021-05-03,2021-09-15,70.0,C,18.4
2021-05-03,2021-09-15,70.0,P,0.29
2021-05-03,2021-09-15,75.0,C,13.9
2021-05-03,2021-09-15,75.0,P,0.82
2021-05-03,2021-09-15,80.0,C,10.0
2021-05-03,2021-09-15,80.0,P,1.89
2021-05-03,2021-09-15,85.0,C,6.75
2021-05-03,2021-09-15,85.0,P,3.66
2021-05-03,2021-09-15,90.0,C,4.32
2021-05-03,2021-09-15,90.0,P,6.2
2021-05-03,2021-09-15,95.0,C,2.61
2021-05-03,2021-09-15,95.0,P,9.45
2021-05-03,2021-09-15,100.0,C,1.49
2021-05-03,2021-09-15,100.0,P,13.35
2021-05-03,2021-09-15,110.0,C,0.42
2021-05-03,2021-09-15,110.0,P,22.2
2021-05-03,2021-12-15,55.0,C,33.2
2021-05-03,2021-12-15,55.0,P,0.03
2021-05-03,2021-12-15,60.0,C,28.3
2021-05-03,2021-12-15,60.0,P,0.1
2021-05-03,2021-12-15,65.0,C,23.5
2021-05-03,2021-12-15,65.0,P,0.31
2021-05-03,2021-12-15,70.0,C,19.0
2021-05-03,2021-12-15,70.0,P,0.78
2021-05-03,2021-12-15,75.0,C,14.85
2021-05-03,2021-12-15,75.0,P,1.63
2021-05-03,2021-12-15,80.0,C,11.25
2021-05-03,2021-12-15,80.0,P,3.01
2021-05-03,2021-12-15,85.0,C,8.25
2021-05-03,2021-12-15,85.0,P,4.98
2021-05-03,2021-12-15,90.0,C,5.85
