optID,time,tradeDate,inventory(k) ,contractType,dayToExpire,iv,strikePrice,delta,gamma,rho,theta,vega,pre_settlePrice,settlePrice_chg,spotPrice,theoryMargin,theoryPrice,settlePrice
10001025,1,2018/4/16,3.275,0,72,25.4,2.651,1,0,0.0052,-3.00E-04,0,0.1653,-20.4,2.655,-0.1068,0.0248,0.1316
10001025,2,2018/4/17,3.495,0,71,24.9,2.651,0.0442,35.7966,2.00E-04,0,0.0011,0.1303,-13.4,2.626,-0.1128,0,0.1128
10001025,3,2018/4/18,3.675,0,70,24.7,2.651,1,0.0041,0.005,-3.00E-04,0,0.1124,6.7,2.643,-0.1076,0.0123,0.1199
10001025,4,2018/4/19,3.682,0,69,23.3,2.651,1,0,0.005,-3.00E-04,0,0.1187,10.4,2.676,-0.0861,0.045,0.1311
10001025,5,2018/4/20,3.783,0,68,22.2,2.651,0.9838,15.2264,0.0048,-3.00E-04,5.00E-04,0.1312,-21.3,2.637,-0.0976,0.0057,0.1033
10001025,6,2018/4/24,3.417,0,64,22.7,2.651,0.6528,1.3966,0.0028,-9.00E-04,0.0042,0.1125,35.6,2.722,0.002,0.1546,0.1526
10001025,7,2018/4/28,3.498,0,60,24.7,2.651,0.5318,1.7935,0.0022,-9.00E-04,0.0043,0.1123,-2.5,2.642,-0.017,0.0925,0.1095
10001025,8,2018/4/29,3.498,0,59,24.9,2.651,0.5313,1.8088,0.0021,-9.00E-04,0.0042,0.1123,-2.5,2.642,-0.0178,0.0917,0.1095
10001025,9,2018/5/3,3.609,0,55,25.5,2.651,0.5539,2.074,0.0021,-8.00E-04,0.0041,0.1117,2,2.654,-0.0283,0.0856,0.1139
10001025,10,2018/5/4,3.76,0,54,25.8,2.651,0.5114,2.1162,0.0019,-8.00E-04,0.004,0.114,-8.9,2.634,-0.0293,0.0745,0.1038
10001025,11,2018/5/7,3.697,0,51,25.6,2.651,0.5957,2.118,0.0021,-9.00E-04,0.0039,0.1038,16.9,2.674,-0.0284,0.0929,0.1213
10001025,12,2018/5/8,3.615,0,50,23.5,2.651,0.6786,1.9598,0.0024,-8.00E-04,0.0036,0.1213,12.6,2.714,-0.0194,0.1172,0.1366
10001025,13,2018/5/9,3.475,0,49,23.4,2.651,0.675,2.013,0.0023,-8.00E-04,0.0036,0.1366,-2.5,2.711,-0.0196,0.1136,0.1332
