timestamp,true_price,estimated_price,strike_price,time_to_maturity,volume,underlying_price
2021.01.019.0,150.0,183.68568,17400.0,0.40821916,0.0,15292.0
2021.01.020.0,190.0,190.57497,17400.0,0.40547946,1.0,15571.0
2021.01.019.0,132.0,138.75131,11200.0,0.65753424,5.0,14870.0
2021.01.020.0,133.0,132.74615,11200.0,0.6547945,45.0,15178.0
2021.01.019.0,180.0,182.07164,11800.0,0.65753424,0.0,14870.0
2021.01.020.0,173.0,169.44798,11800.0,0.6547945,5.0,15178.0
2021.01.019.0,189.0,192.49506,12000.0,0.65753424,11.0,14870.0
2021.01.020.0,188.0,184.34456,12000.0,0.6547945,24.0,15178.0
2021.01.019.0,211.0,214.04404,12200.0,0.65753424,0.0,14870.0
2021.01.020.0,203.0,198.79034,12200.0,0.6547945,0.0,15178.0
2021.01.019.0,550.0,517.25433,14000.0,0.65753424,0.0,14870.0
2021.01.020.0,550.0,502.47736,14000.0,0.6547945,0.0,15178.0
2021.01.019.0,39.0,38.16272,9600.0,0.40821916,25.0,15292.0
2021.01.020.0,40.5,34.7229,9600.0,0.40547946,27.0,15571.0
2021.01.019.0,52.0,43.51013,10000.0,0.40821916,2.0,15292.0
2021.01.020.0,50.0,39.945465,10000.0,0.40547946,1.0,15571.0
2021.01.019.0,63.0,63.33519,11000.0,0.40821916,15.0,15292.0
2021.01.020.0,67.0,57.963287,11000.0,0.40547946,8.0,15571.0
2021.01.019.0,70.0,74.84384,11400.0,0.40821916,0.0,15292.0
2021.01.020.0,76.0,68.519135,11400.0,0.40547946,0.0,15571.0
2021.01.019.0,77.0,81.70523,11600.0,0.40821916,0.0,15292.0
2021.01.020.0,83.0,75.04982,11600.0,0.40547946,0.0,15571.0
2021.01.019.0,86.0,92.20085,11800.0,0.40821916,16.0,15292.0
2021.01.020.0,90.0,84.44983,11800.0,0.40547946,0.0,15571.0
2021.01.019.0,95.0,99.66051,12000.0,0.40821916,6.0,15292.0
2021.01.020.0,98.0,93.466,12000.0,0.40547946,9.0,15571.0
2021.01.019.0,115.0,119.14656,12400.0,0.40821916,0.0,15292.0
2021.01.020.0,126.0,112.05098,12400.0,0.40547946,7.0,15571.0
2021.01.019.0,123.0,134.60535,12600.0,0.40821916,1.0,15292.0
2021.01.020.0,140.0,127.17554,12600.0,0.40547946,33.0,15571.0
2021.01.019.0,156.0,163.48955,13000.0,0.40821916,0.0,15292.0
2021.01.020.0,174.0,155.09444,13000.0,0.40547946,6.0,15571.0
