timestamp,true_price,estimated_price,moneyness,time_to_maturity,volume,underlying_price,cp_flag
2021.05.024.0,234.00005,206.27235,-0.87820464,0.32054794,6.0,9.667766,0.0
2021.012.024.0,13.500001,12.207083,-1.7798202,0.15068494,20.0,9.793784,0.0
2021.09.07.0,200.00002,208.60214,-0.960951,0.2739726,3.0,9.761579,1.0
2021.06.015.0,62.999992,114.4345,-0.894864,0.10958904,552.0,9.747067,1.0
2021.05.03.0,1200.0001,1591.7786,1.7824824,0.05479452,0.0,9.774005,0.0
2021.09.030.0,5.1,4.812737,-2.2549272,0.13424657,0.0,9.728479,0.0
2021.01.022.0,685.00006,777.146,0.34427845,0.15068494,0.0,9.683339,0.0
2021.02.023.0,253.00002,180.32095,-0.5482982,0.1589041,1341.0,9.700147,1.0
2021.07.027.0,102.99999,119.031075,-1.1790801,0.3890411,0.0,9.741792,0.0
2021.03.017.0,260.00006,232.13841,-0.5533756,0.17534247,10.0,9.691593,1.0
2021.03.017.0,180.99995,133.57338,-0.54634786,0.09863014,577.0,9.695232,1.0
2021.06.015.0,135.00002,167.94254,-0.9321991,0.2630137,69.0,9.725855,1.0
2021.012.024.0,1100.0001,833.711,1.297992,0.07397261,0.0,9.795568,0.0
2021.09.030.0,585.0001,518.315,-0.32107532,0.46027398,2.0,9.715953,1.0
2021.01.022.0,278.00003,296.0685,-0.8128507,0.64931506,19.0,9.644652,0.0
2021.08.017.0,38.0,21.100563,-1.6904609,0.08219178,93.0,9.720646,1.0
2021.07.027.0,4.6,3.5108593,-2.1957653,0.0630137,23.0,9.752781,0.0
2021.03.017.0,236.00003,170.11668,-0.35329366,0.09863014,903.0,9.695232,1.0
2021.09.07.0,89.00001,95.49304,-1.0889398,0.12054794,201.0,9.76612,1.0
2021.09.030.0,36.999996,25.937965,-1.2972629,0.057534248,332.0,9.730502,1.0
2021.010.022.0,333.00006,400.0044,0.01719749,0.07397261,0.0,9.729908,0.0
2021.06.015.0,880.0001,809.7433,0.5893934,0.10958904,0.0,9.747067,0.0
2021.07.027.0,964.99945,974.92773,0.9328587,0.0630137,0.0,9.752781,0.0
2021.01.022.0,450.00006,503.76807,-0.49471408,0.64931506,64.0,9.644652,0.0
2021.012.024.0,26.499998,24.056704,-1.6430765,0.22739726,0.0,9.790207,0.0
2021.011.012.0,16.500002,26.909428,-1.2042905,0.01643835,14988.0,9.76824,0.0
2021.09.030.0,248.99995,256.69418,-0.5546751,0.13424657,54.0,9.728479,0.0
2021.01.022.0,3.6000001,4.2563977,-2.400703,0.07397261,85.0,9.6883745,1.0
2021.09.07.0,100.00001,117.88208,-1.2521515,0.52328765,12.999985,9.754756,0.0
2021.09.030.0,477.0001,523.7253,-0.09197372,0.13424657,35.0,9.728479,0.0
2021.05.03.0,510.00003,822.93506,0.90833855,0.05479452,0.0,9.774005,0.0
2021.010.022.0,241.00002,261.76913,-0.8619531,0.4,0.0,9.721366,1.0
2021.012.024.0,4.999999,4.09421,-2.370514,0.22739726,1.0,9.790207,0.0
2021.05.03.0,32.5,20.840767,-1.7026039,0.05479452,663.0,9.774005,1.0
2021.010.022.0,320.99994,284.925,0.113795996,0.07397261,0.0,9.729908,1.0
2021.08.017.0,2.0,1.0493522,-2.6222897,0.08219178,205.0,9.720646,0.0
2021.05.024.0,695.00006,818.6615,0.5293324,0.071232885,0.0,9.696279,1.0
2021.011.012.0,188.99998,161.5626,-0.29609764,0.093150675,236.0,9.7668085,1.0
2021.07.027.0,710.0001,781.05273,0.33825624,0.13972603,0.0,9.748178,0.0
2021.07.06.0,132.99997,150.33383,-0.79949164,0.12054794,20.0,9.77985,1.0
2021.05.03.0,1250.0001,1581.9916,1.1361356,0.13150683,0.0,9.77087,0.0
2021.07.06.0,34.5,62.48323,-1.2897651,0.04383561,1370.0,9.792444,1.0
2021.07.027.0,1429.9998,1502.1754,0.9358375,0.13972603,0.0,9.748178,0.0
2021.02.023.0,45.000004,40.498024,-1.558175,0.1589041,2.0,9.700147,1.0
2021.05.03.0,1399.9999,1688.5692,0.43128157,0.63013697,0.0,9.731512,0.0
2021.012.024.0,64.0,96.67685,-1.3853867,0.22739726,98.0,9.790207,1.0
2021.01.022.0,455.0,385.0881,-0.63247997,0.64931506,0.0,9.644652,1.0
2021.011.012.0,0.19999999,0.17268467,-3.2313619,0.093150675,301.0,9.7668085,0.0
2021.05.024.0,312.00006,294.62637,-0.5212836,0.16712329,3.0,9.689117,1.0
2021.011.012.0,7.699999,12.004845,-1.8945485,0.093150675,104.0,9.7668085,0.0
2021.05.024.0,229.0,278.57712,-0.6986326,0.16712329,0.0,9.689117,1.0
2021.012.024.0,22.000002,17.5924,-1.6515821,0.15068494,0.0,9.793784,0.0
2021.011.012.0,373.0,397.607,-0.66644484,0.5917808,0.0,9.752257,1.0
2021.01.022.0,21.000008,19.005228,-1.9356152,0.15068494,95.0,9.683339,1.0
2021.012.03.0,1490.0,1411.7999,0.6307883,0.2849315,0.0,9.773322,0.0
2021.09.030.0,190.0,179.6272,-0.87627923,0.2109589,2.0,9.72669,1.0
2021.012.024.0,230.00002,202.40822,-0.80489546,0.47671232,1.0,9.783013,0.0
2021.02.023.0,465.99997,419.82895,-0.13670844,0.1589041,122.0,9.700147,0.0
2021.012.03.0,1659.9998,1568.7437,0.71584404,0.2849315,0.0,9.773322,0.0
2021.04.09.0,7.300001,8.060531,-2.426727,0.1890411,0.0,9.730621,1.0
2021.07.027.0,386.99994,368.6822,-0.17722654,0.13972603,0.0,9.748178,1.0
2021.011.012.0,125.999985,151.1307,-0.8958021,0.1890411,0.0,9.763651,0.0
2021.07.06.0,25.5,25.346296,-1.7572881,0.12054794,6.0,9.77985,1.0
2021.06.015.0,51.0,67.42689,-1.4945803,0.2630137,1.0,9.725855,1.0
2021.09.030.0,2.0999997,1.5518847,-2.604094,0.057534248,11.0,9.730502,0.0
2021.09.07.0,650.0001,751.19336,1.3509574,0.024657533,0.0,9.769728,0.0
2021.05.024.0,36.0,12.917929,-1.3073165,0.071232885,1307.0,9.696279,0.0
2021.05.03.0,14.000001,16.501158,-1.7351545,0.13150683,21.0,9.77087,0.0
2021.07.06.0,118.000015,140.13435,-1.0379294,0.19726028,4.0,9.773948,1.0
2021.03.017.0,12.500001,19.024902,-1.8387548,0.17534247,0.0,9.691593,0.0
2021.09.07.0,57.999996,102.2428,-0.49571592,0.024657533,6700.0,9.769728,0.0
2021.02.023.0,100.999985,88.66525,-1.1053071,0.1589041,22.0,9.700147,1.0
2021.07.027.0,178.00002,186.03166,-1.0676925,0.3890411,0.0,9.741792,1.0
2021.04.09.0,1289.9999,1397.1389,0.9009552,0.1890411,0.0,9.730621,0.0
2021.06.015.0,381.00006,332.7929,-0.10313195,0.10958904,535.0,9.747067,0.0
2021.07.06.0,11.000001,8.9771,-1.9862621,0.19726028,2.0,9.773948,0.0
2021.06.015.0,108.00001,78.107765,-0.8984385,0.10958904,243.0,9.747067,0.0
2021.09.07.0,8.0,10.974398,-2.1951792,0.2739726,0.0,9.761579,0.0
2021.05.03.0,104.999985,141.61858,-1.1289243,0.3808219,5.0,9.74367,0.0
2021.06.015.0,725.0,643.53516,0.41823053,0.10958904,0.0,9.747067,0.0
2021.011.012.0,4.999999,10.644663,-2.105113,0.093150675,0.0,9.7668085,1.0
2021.011.012.0,24.499996,39.13917,-0.55444306,0.01643835,13932.0,9.76824,1.0
2021.05.024.0,7.100001,3.2204883,-1.9566019,0.071232885,14.0,9.696279,0.0
2021.08.017.0,260.00006,204.90384,-0.5459525,0.1780822,0.0,9.71776,1.0
2021.05.024.0,490.0001,603.3056,-0.5545761,0.569863,0.0,9.654449,1.0
2021.012.024.0,60.000004,97.33033,-1.2423042,0.15068494,77.0,9.793784,1.0
2021.012.03.0,0.19999999,0.14794193,-3.315228,0.035616443,0.0,9.781602,0.0
2021.09.030.0,2040.0001,2036.3856,0.92745304,0.2109589,0.0,9.72669,0.0
2021.010.022.0,27.000002,30.21941,-1.6068927,0.15068494,102.0,9.72836,0.0
2021.05.024.0,282.99997,220.56187,-0.5586603,0.16712329,18.0,9.689117,0.0
2021.05.03.0,46.0,89.88267,-0.99966353,0.13150683,186.0,9.77087,0.0
2021.07.027.0,580.0,629.15936,0.18343437,0.13972603,0.0,9.748178,0.0
2021.07.06.0,11.5,8.480357,-1.9368902,0.12054794,4.0,9.77985,0.0
2021.03.017.0,235.00003,204.41638,-0.98770237,0.50136983,17.0,9.660141,1.0
2021.010.022.0,414.00003,412.5752,-0.07098144,0.15068494,29.0,9.72836,1.0
2021.09.030.0,1.6999999,1.106277,-2.729012,0.057534248,1.0,9.730502,0.0
