timestamp,true_price,estimated_price,moneyness,time_to_maturity
2021.04.09.0,120.0,137.9228,1.0751216,0.0
2021.09.07.0,283.81903,278.5223,0.7934772,2.0
2021.05.024.0,145.55801,143.75888,1.2766852,0.0
2021.05.03.0,29.040695,31.112564,2.0483193,37.0
2021.05.03.0,388.0,264.65533,0.38689637,0.0
2021.012.024.0,2.800003,5.2997894,-2.5218742,0.0
2021.08.017.0,289.0,307.77136,0.06560409,0.0
2021.09.07.0,130.39433,133.05775,1.3468453,9.0
2021.07.06.0,151.90216,174.84003,1.3907484,2.0
2021.05.024.0,413.0,335.54132,-0.03971827,2744.0
2021.05.03.0,329.0,352.9099,0.111566186,0.0
2021.03.017.0,106.0,182.84642,-0.85075307,1.0
2021.09.07.0,390.0,356.39386,0.41488695,0.0
2021.012.024.0,342.0,344.74115,-0.5784044,0.0
2021.011.012.0,17.79567,23.323425,1.9020028,40.0
2021.05.03.0,243.0,110.1598,0.40321052,0.0
2021.06.015.0,403.29483,449.76776,0.6160805,87.0
2021.09.030.0,3.800003,4.337097,-2.3734272,123.0
2021.011.012.0,392.0,416.0402,0.4876846,0.0
2021.07.06.0,72.0,61.523994,0.873346,0.0
2021.011.012.0,423.0,388.6662,-0.43070936,1.0
2021.05.03.0,44.99257,34.959427,1.7410408,156.0
2021.09.07.0,2.3122559,13.5143585,3.1301246,180.0
2021.011.012.0,3.2638855,7.355438,2.233181,680.0
2021.08.017.0,117.0,171.78925,-0.9646716,1.0
2021.012.024.0,86.03978,107.96708,1.1748633,12.999985
2021.05.024.0,1021.0,825.5599,-0.0036177635,0.0
2021.011.012.0,484.4248,497.5946,0.5994848,5.0
2021.07.027.0,4.600006,7.431732,-2.1957598,23.0
2021.01.022.0,188.0,177.83806,-1.1331735,3.0
2021.09.030.0,76.0,92.6571,-1.4405761,6.0
2021.09.07.0,35.0,27.70868,-1.7815399,1.0
2021.01.022.0,141.22794,143.92616,1.3865438,2.0
2021.011.012.0,3.8855133,6.6537933,2.0746646,2058.0
2021.011.012.0,18.524277,21.441864,1.9573076,12.0
2021.04.09.0,57.0,30.198914,0.95230764,0.0
2021.05.03.0,319.0,418.86743,-0.43344927,4.0
2021.05.024.0,372.0,361.00732,0.61480796,0.0
